testcase_id,reference_counting_json,mark_sweep_json,mark_compact_json
1,"{""remaining_objects"":[""A""]}","{""remaining_objects"":[""A""]}","{""remaining_objects"":{""A"": 0}}"
2,"{""remaining_objects"":[""A""]}","{""remaining_objects"":[""A""]}","{""remaining_objects"":{""A"": 0}}"
3,"{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2}}"
4,"{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2}}"
5,"{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2}}"
6,"{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2}}"
7,"{""remaining_objects"":[""A"",""B""]}","{""remaining_objects"":[]}","{""remaining_objects"":{}}"
8,"{""remaining_objects"":[""A""]}","{""remaining_objects"":[]}","{""remaining_objects"":{}}"
9,"{""remaining_objects"":[""A"",""B""]}","{""remaining_objects"":[""A"",""B""]}","{""remaining_objects"":{""A"": 0,""B"": 1}}"
10,"{""remaining_objects"":[""A"",""B"",""C"",""D"",""E""]}","{""remaining_objects"":[""A"",""B"",""C"",""D"",""E""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2,""D"": 3,""E"": 4}}"
11,"{""remaining_objects"":[""A"",""B"",""C"",""X"",""Y""]}","{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2}}"
12,"{""remaining_objects"":[""A"",""B"",""C"",""X"",""Y""]}","{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2}}"
13,"{""remaining_objects"":[""A"",""B"",""C"",""X"",""Y""]}","{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2}}"
14,"{""remaining_objects"":[""A"",""B"",""C"",""X"",""Y""]}","{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2}}"
15,"{""remaining_objects"":[""A"",""B"",""C"",""X"",""Y""]}","{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2}}"
16,"{""remaining_objects"":[""A"",""B"",""C"",""X"",""Y""]}","{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2}}"
17,"{""remaining_objects"":[""A"",""B"",""C"",""X"",""Y""]}","{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2}}"
18,"{""remaining_objects"":[""A"",""B"",""C"",""X"",""Y""]}","{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2}}"
19,"{""remaining_objects"":[""A"",""B"",""C"",""X"",""Y""]}","{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2}}"
20,"{""remaining_objects"":[""A"",""B"",""C"",""X"",""Y""]}","{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2}}"
21,"{""remaining_objects"":[""A"",""B"",""C"",""X"",""Y""]}","{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2}}"
22,"{""remaining_objects"":[""A"",""B"",""C"",""X"",""Y""]}","{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2}}"
23,"{""remaining_objects"":[""A"",""B"",""C"",""X"",""Y""]}","{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2}}"
24,"{""remaining_objects"":[""A"",""B"",""C"",""X"",""Y""]}","{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2}}"
25,"{""remaining_objects"":[""A"",""B"",""C"",""X"",""Y""]}","{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2}}"
26,"{""remaining_objects"":[""A"",""B"",""C"",""X"",""Y""]}","{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2}}"
27,"{""remaining_objects"":[""A"",""B"",""C"",""X"",""Y""]}","{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2}}"
28,"{""remaining_objects"":[""A"",""B"",""C"",""X"",""Y""]}","{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2}}"
29,"{""remaining_objects"":[""A"",""B"",""C"",""X"",""Y""]}","{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2}}"
30,"{""remaining_objects"":[""A"",""B"",""C"",""X"",""Y""]}","{""remaining_objects"":[""A"",""B"",""C""]}","{""remaining_objects"":{""A"": 0,""B"": 1,""C"": 2}}"
